Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cabo Verde,NA,NA,19.76623,NA,20.84048,NA,17.54058,18.32875,18.24099,15.88655,14.2169,15.15328,NA,14.77823,16.28219,16.74823,17.84301,16.41258,NA,NA
Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,9.93077,NA,9.21473,12.02802,12.06446,9.68047,10.05424,9.86948,7.86,7.83693,6.47538,7.82546,NA,NA,NA,NA,NA,NA,NA,NA
Chad,12.84449,13.78685,NA,NA,11.0319,14.67282,NA,NA,NA,9.54159,8.11928,10.08326,9.21241,12.46146,NA,NA,NA,16.36275,17.21459,NA
Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,16.42791,NA,17.4506,17.63722,17.02105,16.19909,16.23128,16.74641,17.40113,17.03561,17.84356,17.74974,NA,19.64569,19.92072,19.59405,21.15548,21.29961,NA,NA
China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China, Hong Kong Special Administrative Region",NA,22.41878,22.20729,23.24429,23.15106,22.47858,23.2826,22.63778,22.9224,23.79947,19.90941,20.14833,18.64948,20.3008,17.6204,18.60857,18.12696,17.84128,18.78784,NA
"China, Macao Special Administrative Region",NA,9.82853,12.48313,11.70368,10.77219,10.47489,9.54662,12.9701,12.167,12.31347,15.4131,17.33551,21.24387,16.42891,13.39207,13.3741,13.51698,13.47625,NA,NA
Colombia,13.28683,13.46772,15.29956,15.53726,15.43978,15.53561,13.76883,14.48145,14.67729,16.08117,16.41858,15.52914,15.51283,16.90079,15.73606,15.13378,16.13978,16.14032,15.98262,NA
Comoros,NA,NA,15.78972,NA,NA,NA,NA,NA,29.23312,NA,NA,21.41487,18.49151,16.07073,18.88953,13.25365,NA,NA,NA,NA
Congo,NA,NA,9.05485,9.51995,8.56181,7.59782,NA,NA,NA,NA,24.72778,NA,NA,NA,6.55592,7.9504,NA,15.6822,15.56768,NA
Cook Islands,6.69466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.64264,8.30885,8.80885,11.55289,NA,NA,NA,NA,NA
Costa Rica,18.81951,19.15282,19.2405,20.15172,20.43089,NA,20.64334,21.02189,20.81096,23.40822,22.88089,23.00962,23.50156,22.83091,23.10953,23.37343,23.4232,30.15142,26.08667,NA
Côte d'Ivoire,20.80695,23.20203,22.5923,22.64823,22.10716,21.84569,20.01789,20.75588,21.52691,22.19047,22.77275,22.42686,20.85876,21.57473,21.76678,21.17322,22.51621,20.68033,18.33167,NA
Croatia,NA,NA,7.55612,7.75087,7.83662,NA,NA,8.73112,9.4254,9.07877,8.83678,8.55059,NA,9.56341,NA,NA,NA,NA,NA,NA
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,14.26831,14.32157,14.91421,16.51523,15.83298,15.83936,16.17962,16.72048,17.59075,17.20125,15.64949,15.49765,NA,15.36213,15.92778,16.21095,16.69229,NA,NA,NA
Czechia,8.91229,8.67646,8.8648,8.38266,9.43307,9.20297,10.19694,9.57695,9.21464,9.43733,9.34049,9.92718,9.55685,9.60244,9.41373,13.88252,14.1515,NA,NA,NA
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5785,NA,NA,16.17474,10.55392,11.73837,14.63542,14.00642,NA,NA
Denmark,15.34415,15.54854,15.43388,15.14175,15.48686,15.77934,15.51264,15.3567,14.83026,14.94417,15.10334,15.03626,12.48871,15.21744,13.82682,NA,NA,NA,NA,NA
Djibouti,29.38595,26.28002,25.48931,24.27149,24.70114,22.71505,24.70796,22.52744,NA,NA,12.3284,NA,NA,NA,NA,8.57644,12.00851,13.2547,13.99153,NA
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5221,NA,NA,NA,NA
Dominican Republic,12.98848,12.50729,12.07972,9.70181,NA,NA,NA,12.57788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,4.9573,NA,NA,NA,NA,NA,NA,NA,NA,13.17257,12.99656,11.97611,11.53415,11.44254,12.06831,12.59765,NA,NA,NA,NA
Egypt,NA,NA,NA,15.3519,14.74871,15.04361,11.01859,11.20964,10.9418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,13.29634,NA,15.48564,14.06819,NA,14.65582,15.75177,16.43733,19.44883,18.54698,16.16422,15.87258,15.27999,15.55899,16.11058,16.60156,16.1132,15.59205,14.945,NA
Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,NA,5.86161,5.63338,NA,5.74185,NA,5.16807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,14.6785,14.94748,15.14523,15.04903,14.30608,14.2577,NA,13.68231,13.87971,12.93009,13.64279,13.4062,11.9912,12.58262,14.26602,12.9666,13.10831,NA,NA,NA
Eswatini,18.74508,19.65618,17.29377,22.06382,21.10407,20.89186,22.70757,NA,21.81324,19.38638,18.28303,22.33393,NA,NA,24.79544,NA,NA,NA,NA,NA
Ethiopia,14.90773,14.46177,16.18775,NA,NA,NA,23.97538,24.69945,26.35573,23.58375,26.30404,29.67443,30.53954,27.0211,25.91838,27.09871,NA,NA,NA,NA
Faeroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands (Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,21.75859,19.63864,21.03781,NA,23.74915,20.26613,20.84329,23.1704,17.36972,15.85362,NA,15.23479,NA,14.30039,NA,NA,NA,NA,NA,NA
Finland,12.17092,12.63445,12.68253,12.77597,12.77896,12.2497,12.28382,12.14995,12.1154,11.84332,11.94549,11.91888,12.79729,12.44551,12.30714,12.41213,12.33513,NA,NA,NA
France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,17.70649,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33042,13.74125,12.58227,8.73757,11.22549,NA,NA,NA,NA,NA
Gambia,11.9218,8.20527,10.94752,8.46884,5.02954,5.34417,5.36076,7.2975,18.88171,13.29374,17.61123,15.11833,13.79553,10.28876,11.75232,11.03293,10.35779,NA,11.18827,NA
Georgia,12.54072,12.36196,13.60351,12.49294,15.03676,11.18125,12.89539,9.48665,8.9376,8.99825,NA,9.26943,6.70776,NA,NA,NA,12.6662,12.95336,NA,NA
Germany,NA,NA,NA,NA,NA,NA,9.49249,10.06227,10.0362,10.18564,10.26904,10.66542,11.03474,11.03833,11.14962,10.97799,10.92541,NA,NA,NA
