Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China, Hong Kong Special Administrative Region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China, Macao Special Administrative Region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.03536,NA,NA,NA,NA,NA
Colombia,NA,NA,NA,NA,NA,NA,NA,NA,50.0738,NA,64.5275,62.74573,61.57456,60.36674,NA,63.67751,66.63831,65.23832,77.44431,NA
Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.3355,NA,NA,NA
Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.46021,51.1052,52.83338,NA
Côte d'Ivoire,NA,NA,NA,NA,NA,NA,57.43999,55.19802,55.40109,54.74521,56.25507,56.92719,52.72674,52.8707,56.02976,57.30047,58.98779,66.05437,64.72668,NA
Croatia,NA,NA,NA,NA,NA,NA,NA,46.14864,49.83596,51.87453,56.74592,74.38013,NA,NA,69.39443,69.27053,NA,NA,NA,NA
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.47977,NA,NA,NA,NA,NA,NA
Cyprus,67.96581,72.10459,70.80103,68.70605,71.45326,67.72776,65.65178,70.28727,65.42041,67.57738,68.77986,70.20384,NA,75.23432,76.46561,74.42797,72.99607,NA,NA,NA
Czechia,37.25652,38.7015,39.49875,40.39616,39.03247,40.46757,36.24366,38.4894,37.02416,37.26929,37.25871,36.0645,34.63188,35.97878,35.82932,24.73899,26.21282,NA,NA,NA
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.56469,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,46.15958,47.2015,46.95942,46.75433,47.35668,47.47496,47.05313,49.85806,49.69843,46.60793,45.21702,44.95178,49.42979,NA,NA,NA,NA,NA,NA,NA
