Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cameroon,179.48561,251.41926,NA,449.76525,525.30522,518.07709,530.63596,687.78392,689.60715,809.00779,782.65716,811.68716,784.99991,895.40311,938.96221,855.7772,865.85143,1101.75219,1210.99954,NA
Canada,36792.48906,36888.84587,36897.98554,NA,NA,48930.77479,NA,62881.61231,67949.46746,75173.74321,73629.97376,85105.42294,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,NA,NA,48.91303,NA,69.10795,NA,72.34084,81.86667,98.73545,90.87965,92.65705,94.05453,NA,92.55018,92.32285,84.10203,87.95259,91.6299,NA,NA
Cayman Islands,NA,NA,NA,NA,NA,NA,60.38649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,14.74768,NA,15.06482,17.54989,20.63281,22.09612,20.66782,22.29447,25.60989,25.83293,23.92248,26.97566,NA,NA,NA,NA,NA,NA,NA,NA
Chad,36.65852,41.47122,NA,NA,70.3276,112.64567,NA,NA,NA,213.91688,211.22928,274.47847,272.85879,369.16325,NA,NA,NA,244.88548,253.38654,NA
Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,2939.89962,NA,2846.10706,2998.09517,3510.44702,4012.13511,4676.9613,5579.33536,6812.65556,7293.20094,9095.72225,10204.06313,NA,12609.22567,12326.10554,11891.80081,13378.53693,15005.93091,NA,NA
China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China, Hong Kong Special Administrative Region",NA,6701.40672,6802.45679,7128.56941,7357.45107,6991.65383,6977.35718,6685.8055,6899.40267,9631.04228,7513.09373,7815.34778,8721.86536,9875.71554,9849.40691,9507.74429,10186.92433,10620.04818,11351.5629,NA
"China, Macao Special Administrative Region",224.52311,186.2202,209.57502,229.26744,237.71534,276.99068,326.31789,376.80907,461.83963,546.86798,739.50988,985.72996,1436.11922,1056.74499,1124.70505,1352.55084,1396.97814,1365.14699,NA,NA
Colombia,3507.22925,3642.36088,4181.19053,4093.37125,4776.16465,5855.33038,6330.15103,8418.42132,9539.22204,11100.52583,13851.96782,14958.87026,16210.70647,18641.7326,17643.4514,13119.77279,12662.67395,14145.52379,14868.81103,NA
Comoros,NA,NA,9.57487,NA,NA,NA,NA,NA,40.33312,NA,NA,28.92007,27.91531,26.58936,31.51113,24.57611,NA,NA,NA,NA
Congo,NA,NA,96.8911,99.14826,106.36687,111.74325,NA,NA,NA,NA,746.98542,NA,NA,NA,569.53564,390.14989,NA,492.5578,409.59108,NA
Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,700.67822,771.97373,853.8825,886.6879,910.17514,NA,1048.58071,1245.97416,1505.27325,1847.90841,2472.56777,2728.20558,3108.97883,3407.2088,3474.44901,3879.53332,4056.89228,4278.36686,4225.79784,NA
Côte d'Ivoire,396.92332,410.61963,505.03007,607.36375,683.34352,701.46416,712.30184,866.2986,1051.66733,1071.23415,1133.10682,1050.17654,1246.86288,1478.48444,1616.58824,1600.19257,1904.00078,1957.29729,1878.61679,NA
Croatia,NA,NA,1024.30085,1340.41999,1588.50587,NA,NA,2386.37084,3009.65133,2752.199,2537.07766,2587.77017,NA,2650.22644,NA,NA,NA,NA,NA,NA
Cuba,2355.005,2648.044,3215.004,3568.8875,3922.771,4502.243,4777.003,6955.233,8548.804,8147.913,8257.987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.20726,NA,NA,NA,NA,NA,NA
Cyprus,498.24773,531.90679,637.43923,970.33968,1059.62246,1158.8477,1270.66166,1505.438,1871.93203,1869.48319,1682.06093,1799.87351,NA,1549.06267,1489.43877,1254.6989,1286.82019,NA,NA,NA
Czechia,2250.75462,2531.15888,3253.9571,4121.00748,4783.45357,5301.83993,6556.06844,7316.7042,8826.60192,8600.34622,8432.84594,9738.26147,8815.27897,8566.41553,8301.56103,10815.31409,10900.42841,NA,NA,NA
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328.87264,NA,NA,673.92361,700.741,779.38403,786.77106,553.16041,NA,NA
Denmark,13271.14597,13538.35248,14671.3618,17713.6178,20631.77046,21383.69225,21866.75332,24326.02124,26417.44072,27141.30333,27561.35556,29188.17499,23678.45649,29185.54367,26950.54759,NA,NA,NA,NA,NA
Djibouti,53.24891,44.67963,49.93564,55.29887,61.70942,59.28349,63.65336,71.27818,NA,NA,50.67712,NA,NA,NA,NA,87.25321,102.17368,103.14012,109.29725,NA
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.73169,NA,NA,NA,NA
Dominican Republic,458.95015,503.75016,523.72866,399.23635,NA,NA,NA,904.05985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,210.93929,NA,NA,NA,NA,NA,NA,NA,NA,2714.86702,3135.16073,3747.32378,4082.3976,4760.89849,5351.81152,4963.22364,NA,NA,NA,NA
Egypt,NA,NA,NA,4101.1381,3682.63716,4299.91839,4301.27547,4807.64514,6123.30909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,334.53596,NA,410.67928,415.15239,NA,467.08094,558.8729,614.09857,801.87545,820.14742,746.78714,790.77215,793.94838,835.98439,864.01039,916.40619,925.38113,930.5333,938.24687,NA
Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,NA,30.44959,25.70055,NA,34.92379,NA,25.76137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,303.63245,327.02202,400.42074,520.66667,592.32522,678.57493,NA,1037.12866,1334.90816,1170.13879,1077.26447,1162.53964,1086.04182,1216.23028,1436.95347,1177.07032,1240.74603,NA,NA,NA
Eswatini,85.2649,84.09349,68.49935,83.30946,118.70639,179.62935,208.3185,NA,229.60657,213.17222,219.06328,304.69226,NA,NA,325.07247,NA,NA,NA,NA,NA
Ethiopia,306.73288,304.99257,298.99854,NA,NA,NA,680.9411,832.9793,1065.82784,1196.91873,1458.57503,1642.09588,1778.7388,1948.35371,2192.78161,2634.86215,NA,NA,NA,NA
Faeroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands (Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,98.64249,93.25033,115.05428,NA,168.14895,154.00343,173.97505,199.14202,149.86108,129.13443,NA,157.51339,NA,162.6986,NA,NA,NA,NA,NA,NA
Finland,7176.96363,7558.50937,8407.75662,10563.24609,12137.62935,12339.88463,12859.09914,14521.39781,16589.77873,16310.15487,16207.87177,17739.59582,18463.72625,19326.45894,19495.82163,16486.01404,16485.31958,NA,NA,NA
France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,193.95168,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.96996,543.31381,517.44454,532.94845,484.79314,NA,NA,NA,NA,NA
Gambia,11.47654,7.9609,8.34346,6.64019,5.98753,7.1105,7.92299,10.45334,34.06677,27.67077,39.55799,35.25892,37.32184,25.014,27.42857,29.76899,29.70354,NA,39.51919,NA
Georgia,66.68505,68.81669,75.89516,82.44396,149.36352,159.26518,232.64435,274.349,373.55889,346.94829,NA,389.1895,314.28529,NA,NA,NA,544.17531,580.59135,NA,NA
Germany,NA,NA,NA,NA,NA,NA,128483.5927,149398.0886,165462.1816,166815.0344,167904.9389,180662.7597,174835.7737,185185.4951,191850.8427,162481.9365,167800.2395,NA,NA,NA
