Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Comoros,NA,NA,2598,3399,3111,NA,NA,NA,NA,NA,NA,NA,NA,7784,8150,NA,NA,12693,8870,NA
Congo,NA,NA,NA,7261,6866,NA,NA,NA,NA,NA,NA,NA,18165,NA,NA,NA,NA,NA,NA,NA
Cook Islands,123,123,123,126,NA,122,NA,133,NA,126,117,130,NA,128,124,124,107,NA,NA,NA
Costa Rica,13568,14323,15410,NA,NA,NA,21042,21097,24347,25643,26676,28111,NA,32018,32051,32988,36355,35112,38355,NA
Côte d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63602,NA,66852,72134,74796,NA
Croatia,34651,35765,36450,36806,NA,39472,41491,42261,43095,47001,47673,47995,48776,49228,46194,51214,51843,NA,NA,NA
Cuba,66122,73627,77041,80372,84467,84827,88536,93311,89495,85957,85476,88316,93067,94786,93503,91289,88441,86096,82549,NA
Curaçao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,4681,5031,5258,5326,5736,5694,5862,6075,6353,6512,6526,6466,6394,6368,6032,5521,7000,6643,NA,NA
Czechia,NA,92925,92384,93004,95296,93330,91622,81105,79822,77855,76241,71092,69448,69387,NA,NA,NA,NA,NA,NA
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,123702,NA,NA,NA,NA,NA,122971,NA,NA,123539,NA
Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,179635,188808,212273,218320,248591,253929,281324,300719,324324,NA,NA,NA,NA
Denmark,44587,43921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49050,NA,NA,NA,NA,NA
Djibouti,NA,NA,644,NA,NA,NA,967,1021,NA,1497,NA,1827,2074,2274,2386,2612,2580,2674,2563,2441
Dominica,346,374,443,460,445,496,455,469,506,524,511,535,NA,543,516,520,556,NA,NA,NA
Dominican Republic,NA,NA,NA,NA,28948,30583,32700,31710,37164,34673,32084,31289,31040,33285,NA,42071,NA,49593,NA,NA
Ecuador,67548,68963,71175,73284,74685,75743,76817,77904,NA,76560,82989,83720,82982,81832,84324,86456,87924.19198,90642.09466,91733.54561,NA
Egypt,473713,490647,480685,485186,487709,NA,NA,NA,NA,549344,NA,NA,NA,NA,NA,NA,591205,587512,602579,NA
El Salvador,NA,NA,NA,16832,17199,18126,NA,19929,20484,22807,NA,24556,NA,NA,NA,19449.35278,19508.69444,19254,18928,NA
Equatorial Guinea,894,NA,NA,NA,NA,1327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,2501,2710,3097,3014,4058,4225,4188,5053,NA,5644,6413,6495,7010,6981,6654,6322,6435,6766,7436,NA
Estonia,11938,11833,NA,NA,NA,NA,NA,11496,11272,10543,10881,10344,10170,9983,NA,NA,9133,9001,NA,NA
Eswatini,3487,NA,3845,3684,3746,4241,3979,4358,NA,4717,4890,5250,5556,5843,6115,6362,6966,NA,NA,NA
Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,79962,81887,97660,112608,122147,NA,NA,NA,NA,NA,NA,NA
Faeroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands (Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,4840,5036,5142,4029,4558,NA,4200,4327,5265,NA,NA,3813,5041,NA,NA,NA,NA,NA,NA,NA
Finland,38776,37925,39276,41555,41953,41982,43840,44170,42991,43319,43076,44493,44843,42578,42085,NA,40768,40018,NA,NA
France,502510,506304,510467,510943,511278,528062,495424,490955,480564,469085,463172,463976,461328,457049,NA,NA,NA,NA,NA,NA
French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4213,4525,5936,NA,6545,7841,NA
Georgia,59466,58956,47910,48965,NA,NA,NA,NA,40919,45147,NA,NA,NA,39082,38865,38343,36886,37258,37018,NA
Germany,578376,588329,589965,595388,597681,595635,593896,593011,597269,584737,593815,584535,580082,580537.159,590030,586213.95,588926.498,586985.94,NA,NA
Ghana,55217,55549,59075,65976,67946,72879,83737,91487,99001,99154,112252,115086,124436,134438,143254,146847,147969,163123,167150,187914
Gibraltar,124,132,NA,NA,NA,NA,NA,NA,307,282,NA,NA,NA,NA,NA,NA,125,147,NA,NA
Greece,75689,78963,84305,83004,83848,86365,86024,86513,NA,NA,NA,NA,NA,90072,80388,76473,78827,78015,NA,NA
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,NA,NA,NA,740,680,NA,596,642,664,694,744,NA,NA,719,776,784,773,749,713,NA
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,35910,40029,44435,NA,45400,47904,49935,53630,54498,61472,77400,82250,83418,94102,92039,NA,98419,116080,116952,NA
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,NA,NA,NA,9757,10828,12202,13477,NA,15941,NA,NA,19322,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,1717,NA,NA,NA,NA,NA,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,NA,NA,NA,3942,NA,3915,NA,3265,3574,3559,3766,4148,4235,NA,NA,NA,NA,NA,NA,NA
Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,NA,NA,NA,NA,16667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39613,44956,39322,NA,NA
Hungary,101781,94359,93283,93964,97775,96588,96250,95324,90423,88430,88749,88003,86098,84994,78674,80322,80741,NA,NA,NA
Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,2112548,2164558,2357820,2507357,2586211,NA,NA,NA,NA,4022005,4251657,4387444,NA,3878747,4073937,4092933,4638710,4731207,4667986,NA
Indonesia,1010196,1040081,1114798,1115098,1151624,1281677,1369424,1434874,1531383,1550054,1640533,1407035,1290585,1451842,1459756,NA,1674317,1586484,1636970,NA
Iran (Islamic Republic of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334369,330872,NA,305644,299031,NA,NA
Iraq,62034,NA,NA,84090,90825,NA,NA,148363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,61069,65973,67993,68241,68241,68079,67463,68058,69391,71062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
